Paired Exploration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,5,8,11,11,12,14,17,20,20,21,24,27,28,29,31,32,34,35,38,39,40,,,,,,,,,
Cumulative,F,1,5,5,7,7,8,8,10,11,11,12,14,16,17,19,21,23,25,25,27,30,,,,,,,,,
Cumulative,F,1,2,3,3,5,6,7,7,7,7,9,12,14,15,15,18,19,19,19,20,22,,,,,,,,,
Cumulative,F,1,2,2,2,2,2,2,2,3,3,4,6,7,7,7,8,8,8,9,10,10,,,,,,,,,
Cumulative,F,0,1,4,7,9,10,12,14,15,16,18,22,28,29,32,33,34,37,38,38,40,,,,,,,,,
Cumulative,F,4,7,8,9,11,12,14,16,18,21,23,24,25,26,27,27,30,33,33,33,33,,,,,,,,,
Cumulative,F,1,2,3,4,5,5,5,9,10,11,13,15,17,17,19,23,25,26,29,29,30,,,,,,,,,
Cumulative,F,1,3,3,3,5,5,5,6,6,8,9,10,11,11,11,12,13,14,14,14,14,,,,,,,,,
CumAverage,F,1.75,3.75,4.875,5.75,7,7.75,8.75,10.5,11.25,12.25,14,16.25,18.25,18.875,20.125,21.75,23.25,24.625,25.625,26.25,27.375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,3,4,5,5,7,8,9,10,11,13,14,18,18,19,19,19,23,25,28,30,30,,,,,,,,,
Cumulative,M,1,1,2,2,2,4,5,6,9,11,13,14,17,19,21,25,25,26,28,28,28,,,,,,,,,
Cumulative,M,2,3,3,4,4,5,9,9,10,11,11,12,13,14,14,14,15,16,16,16,17,,,,,,,,,
Cumulative,M,2,3,6,7,8,11,11,12,15,18,20,23,27,28,32,33,35,36,37,37,37,,,,,,,,,
Cumulative,M,0,0,3,4,5,6,7,8,8,9,9,9,12,14,16,19,20,23,23,25,26,,,,,,,,,
Cumulative,M,2,2,4,4,6,7,9,9,9,9,9,10,12,12,14,15,16,17,19,19,19,,,,,,,,,
Cumulative,M,0,1,2,2,2,3,3,5,5,6,7,8,9,10,10,13,13,15,16,18,20,,,,,,,,,
Cumulative,M,0,0,0,0,2,5,7,7,8,10,12,13,14,14,16,17,21,22,22,23,26,,,,,,,,,
CumAverage,M,1.25,1.75,3.125,3.5,4.5,6.125,7.5,8.25,9.375,10.875,11.875,13.375,15.25,16.25,17.75,19.375,21,22.5,23.625,24.5,25.375,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pursuit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,11,20,26,26,26,26,27,27,27,27,29,31,33,33,34,34,34,34,37,37,38,,,,,,,,,
Cumulative,F,3,3,3,3,3,3,3,3,3,3,5,6,6,6,6,6,6,6,6,6,6,,,,,,,,,
Cumulative,F,4,8,9,9,9,10,10,11,11,11,13,14,14,15,15,17,20,25,25,26,26,,,,,,,,,
Cumulative,F,4,4,6,6,7,10,11,14,15,15,15,16,18,19,20,24,25,26,26,26,26,,,,,,,,,
Cumulative,F,0,3,5,5,5,5,5,5,5,5,5,5,6,6,7,7,8,9,9,9,10,10,,,,,,,,
Cumulative,F,5,8,9,9,9,12,13,13,13,14,15,16,17,17,17,18,19,22,22,22,22,,,,,,,,,
Cumulative,F,0,3,4,4,5,8,8,8,11,11,16,16,16,16,17,17,17,18,21,22,23,,,,,,,,,
Cumulative,F,4,4,6,12,12,13,13,14,14,14,15,15,15,16,16,18,18,18,18,18,19,,,,,,,,,
CumAverage,F,3.875,6.625,8.5,9.25,9.5,10.875,11.25,11.875,12.375,12.5,14.125,14.875,15.625,16,16.5,17.625,18.375,19.75,20.5,20.75,21.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,7,8,9,9,10,11,11,11,11,11,14,15,15,15,15,16,17,17,17,19,19,,,,,,,,,
Cumulative,M,2,3,4,5,5,5,5,6,7,7,7,7,8,8,8,8,9,9,9,10,11,,,,,,,,,
Cumulative,M,6,6,10,11,13,13,14,14,15,19,19,19,20,23,24,25,25,25,28,28,28,,,,,,,,,
Cumulative,M,4,6,10,10,11,13,13,15,15,15,16,24,27,29,32,32,32,33,36,37,41,,,,,,,,,
Cumulative,M,0,0,3,9,11,11,11,11,12,17,17,17,21,27,32,32,34,37,39,40,40,,,,,,,,,
Cumulative,M,6,7,7,8,8,10,13,14,15,15,17,19,21,21,25,26,28,28,30,33,33,,,,,,,,,
Cumulative,M,2,2,3,5,5,5,5,5,5,5,8,8,8,10,10,12,12,12,12,13,13,,,,,,,,,
Cumulative,M,7,7,9,9,11,11,11,15,17,17,18,20,23,24,26,30,32,33,33,33,37,,,,,,,,,
CumAverage,M,4.25,4.875,6.875,8.25,9.25,9.875,10.375,11.375,12.125,13.25,14.5,16.125,17.875,19.625,21.5,22.625,23.625,24.25,25.5,26.625,27.75,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nose Nose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,2,2,3,7,9,9,10,12,12,14,15,15,16,17,17,17,17,17,17,17,18,,,,,,,,,
Cumulative,F,0,1,2,3,4,5,6,7,7,7,7,9,9,9,10,10,10,11,12,12,13,,,,,,,,,
Cumulative,F,0,2,2,2,3,4,4,6,7,8,10,11,11,13,13,14,15,16,17,17,17,,,,,,,,,
Cumulative,F,1,4,5,7,8,9,9,10,11,12,12,12,13,14,14,15,16,17,17,19,20,,,,,,,,,
Cumulative,F,2,2,4,4,5,5,6,9,9,9,12,14,14,16,17,19,19,22,24,24,24,,,,,,,,,
Cumulative,F,3,5,6,7,8,8,9,9,9,10,10,10,10,11,12,13,15,16,16,16,17,,,,,,,,,
Cumulative,F,2,4,6,8,9,9,11,13,16,19,21,26,27,30,32,32,32,35,36,38,39,,,,,,,,,
Cumulative,F,0,4,6,7,7,7,10,11,12,13,15,15,15,15,15,16,16,16,16,16,16,,,,,,,,,
CumAverage,F,1.25,3,4.25,5.625,6.625,7,8.125,9.625,10.375,11.5,12.75,14,14.375,15.625,16.25,17,17.5,18.75,19.375,19.875,20.5,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,1,2,5,6,7,8,8,8,8,11,12,14,15,16,17,18,18,18,19,21,22,,,,,,,,,
Cumulative,M,3,5,7,9,9,9,11,12,14,14,15,16,17,17,18,19,19,20,21,22,23,,,,,,,,,
Cumulative,M,1,3,5,5,5,6,6,6,6,7,7,8,10,10,11,14,14,14,17,17,20,,,,,,,,,
Cumulative,M,0,1,2,3,6,7,7,8,10,13,15,15,15,16,16,17,21,21,24,29,31,,,,,,,,,
Cumulative,M,3,5,7,8,10,12,12,13,19,19,20,21,23,25,27,28,28,28,28,34,35,,,,,,,,,
Cumulative,M,1,2,2,3,3,3,3,4,6,8,9,9,9,13,14,14,15,15,15,15,16,,,,,,,,,
Cumulative,M,1,2,3,3,5,6,6,8,9,9,9,9,10,13,13,21,21,22,24,27,27,,,,,,,,,
Cumulative,M,3,7,8,10,10,10,11,12,12,15,16,16,18,19,19,19,21,22,24,27,27,27,,,,,,,,
CumAverage,M,1.625,3.375,4.875,5.875,6.875,7.625,8,8.875,10.5,12,12.875,13.5,14.625,16.125,16.875,18.75,19.625,20,21.5,24,25.125,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anogenital Sniffing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,7,11,11,11,11,11,12,13,13,13,13,13,13,13,13,13,13,14,14,14,14,,,,,,,,,
Cumulative,F,1,1,1,1,1,1,2,2,2,2,3,4,4,4,4,4,4,4,4,4,4,,,,,,,,,
Cumulative,F,0,3,3,3,3,3,3,3,3,3,3,3,3,8,8,8,8,8,8,8,8,,,,,,,,,
Cumulative,F,1,1,1,1,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,4,4,,,,,,,,,
Cumulative,F,0,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,,,
Cumulative,F,6,7,10,10,12,12,12,12,12,14,15,16,16,16,16,16,16,16,16,16,16,,,,,,,,,
Cumulative,F,0,0,0,0,1,1,1,1,3,3,4,4,7,7,7,7,7,7,8,8,8,,,,,,,,,
Cumulative,F,2,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,,,
CumAverage,F,2.125,3.75,4.125,4.125,4.75,4.75,5,5.125,5.5,5.875,6.25,6.5,6.875,7.5,7.5,7.625,7.625,7.75,7.875,7.875,7.875,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,,,,,,,,,
Cumulative,M,0,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,7,7,,,,,,,,,
Cumulative,M,6,6,6,6,8,8,8,8,8,9,9,9,9,11,11,11,11,11,11,11,11,,,,,,,,,
Cumulative,M,0,1,3,3,6,6,6,6,6,6,6,11,11,12,12,12,12,12,12,12,12,,,,,,,,,
Cumulative,M,0,0,1,1,4,7,7,7,7,7,7,7,7,8,8,8,8,9,9,12,12,,,,,,,,,
Cumulative,M,1,1,1,1,1,1,2,4,4,4,7,8,8,8,10,11,13,13,14,14,14,,,,,,,,,
Cumulative,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,5,,,,,,,,,
Cumulative,M,0,0,0,0,3,3,4,6,6,6,6,6,6,6,7,7,9,9,9,9,9,,,,,,,,,
CumAverage,M,1.5,2.125,2.5,2.5,4,4.375,4.625,5.125,5.125,5.25,5.75,6.5,6.5,7,7.375,7.5,8,8.125,8.75,9.5,9.625,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Side Side,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mouse Name,Sex,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,,,,,,,,,
Cumulative,F,2,2,2,2,3,5,7,11,11,12,17,20,21,22,23,24,24,25,27,28,29,,,,,,,,,
Cumulative,F,5,7,9,9,13,15,15,15,15,15,16,18,19,20,21,22,23,27,29,30,30,,,,,,,,,
Cumulative,F,0,1,4,5,8,8,8,9,10,11,14,16,16,19,19,19,23,23,25,26,26,,,,,,,,,
Cumulative,F,1,2,3,4,4,5,7,7,9,10,15,17,17,18,18,20,20,21,21,22,22,,,,,,,,,
Cumulative,F,4,6,14,14,16,17,20,20,21,23,27,29,32,33,37,38,38,40,43,44,44,,,,,,,,,
Cumulative,F,5,12,14,16,16,16,17,19,19,20,20,21,22,24,26,28,28,31,32,33,35,,,,,,,,,
Cumulative,F,1,1,1,2,5,8,8,11,12,13,16,19,20,21,24,25,27,30,31,31,33,,,,,,,,,
Cumulative,F,1,3,4,5,8,8,8,11,11,13,13,15,16,16,16,16,17,21,21,21,21,,,,,,,,,
CumAverage,F,2.375,4.25,6.375,7.125,9.125,10.25,11.25,12.875,13.5,14.625,17.25,19.375,20.375,21.625,23,24,25,27.25,28.625,29.375,30,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cumulative,M,5,8,9,11,15,16,18,20,20,21,23,23,25,30,31,32,34,35,35,36,37,,,,,,,,,
Cumulative,M,4,7,7,7,9,11,11,11,13,13,18,18,18,19,23,24,25,25,25,25,27,,,,,,,,,
Cumulative,M,2,2,3,3,3,4,4,4,5,5,5,5,6,6,6,6,6,7,7,7,9,,,,,,,,,
Cumulative,M,0,0,1,3,3,4,4,4,5,8,9,11,14,14,14,14,18,20,21,23,24,,,,,,,,,
Cumulative,M,2,3,4,9,13,15,17,18,20,20,21,21,25,26,29,34,35,38,39,42,42,,,,,,,,,
Cumulative,M,1,2,2,3,4,4,7,8,8,10,11,13,14,15,17,18,19,21,23,23,23,,,,,,,,,
Cumulative,M,0,1,4,5,6,8,8,8,9,10,11,13,14,15,16,20,21,22,24,28,29,,,,,,,,,
Cumulative,M,1,6,9,10,11,11,11,13,15,17,20,20,20,21,22,23,24,28,30,30,34,,,,,,,,,
CumAverage,M,1.875,3.625,4.875,6.375,8,9.125,10,10.75,11.875,13,14.75,15.5,17,18.25,19.75,21.375,22.75,24.5,25.5,26.75,28.125,,,,,,,,,