Behavior,Method,Bouts
Paired Exploration,SimBA,29
Paired Exploration,SimBA,21
Paired Exploration,SimBA,30
Paired Exploration,SimBA,20
Paired Exploration,Manual,28
Paired Exploration,Manual,23
Paired Exploration,Manual,28
Paired Exploration,Manual,26
Pursuit,SimBA,23
Pursuit,SimBA,13
Pursuit,SimBA,38
Pursuit,SimBA,19
Pursuit,Manual,17
Pursuit,Manual,12
Pursuit,Manual,10
Pursuit,Manual,9
Anogenital Sniffing,SimBA,8
Anogenital Sniffing,SimBA,5
Anogenital Sniffing,SimBA,1
Anogenital Sniffing,SimBA,4
Anogenital Sniffing,Manual,9
Anogenital Sniffing,Manual,5
Anogenital Sniffing,Manual,4
Anogenital Sniffing,Manual,4
Nose Nose,SimBA,39
Nose Nose,SimBA,27
Nose Nose,SimBA,18
Nose Nose,SimBA,16
Nose Nose,Manual,33
Nose Nose,Manual,17
Nose Nose,Manual,14
Nose Nose,Manual,18
Side Side,SimBA,27
Side Side,SimBA,33
Side Side,SimBA,37
Side Side,SimBA,21
Side Side,Manual,36
Side Side,Manual,35
Side Side,Manual,34
Side Side,Manual,25