Mouse#,Sex,Status,INNER distance traveled (m),INNER time spent (s):,Total time spent in corners (s):,Total Distance Traveled (m):,Total Time spent in chamber (s):,Velocity (m/s):,backleft,backright,frontleft,frontright,,
C262_L,Female,Test,5.768833155,38.88333333,608.9833333,97.07111602,1199.383333,0.080934188,198.3666667,316.95,39.85,53.81666667,0.032419438,0.051554813
C262_L Social Partner,Female,Social Partner,6.683165751,47.86666667,588.6666667,97.47068503,1196.333333,0.081474521,149.7166667,312.25,54.4,72.3,0.040011145,
C262_R,Female,Test,7.662401333,121.6666667,385.4,61.86049362,1213.75,0.050966421,88.71666667,243.15,25.4,28.13333333,0.100240302,
C262_R Social Partner,Female,Social Partner,8.284142922,134.6333333,538.9833333,65.80337398,1225.5,0.053695124,170.2166667,326.5333333,23.95,18.28333333,0.109859921,
C274_L,Female,Test,7.860339293,51,552.75,105.1708167,1220.383333,0.08617851,201.1166667,245.9666667,51.48333333,54.18333333,0.041790148,
C274_L Social Partner,Female,Social Partner,5.806925564,43.81666667,643.5333333,86.192843,1179.966667,0.073046846,274.4833333,289.0333333,39.58333333,40.43333333,0.037133817,
C292_L,Female,Test,7.588880972,42.75,637.7666667,91.85919347,1201.683333,0.076442097,170.1166667,328.4,69.93333333,69.31666667,0.035575096,
C292_L Social Partner,Female,Social Partner,5.476161438,30.66666667,584.95,91.64425229,1159.066667,0.079067283,170.1,219.9833333,92.21666667,102.65,0.02645807,
C296_LLR,Female,Test,3.723140568,25.63333333,687.4666667,68.24289116,1102,0.061926399,193.25,371.35,69.43333333,53.43333333,0.023260738,
C296_LLR Social Partner,Female,Social Partner,4.816565909,40.15,668.3666667,71.26065272,1152.416667,0.06183584,221.0333333,313.8166667,60.81666667,72.7,0.034839829,
C296_RRL,Female,Test,7.389585014,94.63333333,508.65,74.7458297,1141.133333,0.065501399,200.1166667,253.9166667,7.35,47.26666667,0.082929252,
C296_RRL Social Partner,Female,Social Partner,5.460739253,53.75,458.7,69.93212644,1066.783333,0.065554199,157.3333333,230.35,9.6,61.41666667,0.050385114,
C302_L,Female,Test,8.608916419,68.55,507.65,78.46388167,1216.466667,0.064501465,178.6,277.15,18.65,33.25,0.056351729,
C302_L Social Partner,Female,Social Partner,9.446771972,76.73333333,505.4166667,83.0109276,1198.166667,0.06928162,137.2166667,263.75,32.63333333,71.81666667,0.064042287,
C308_L,Female,Test,6.50516037,53.56666667,481.6833333,63.85289593,1173.366667,0.054418536,192.0166667,259.0333333,6.716666667,23.91666667,0.045652112,
C308_L Social Partner,Female,Social Partner,5.429985075,51.38333333,491.0166667,67.01026479,1169.716667,0.057287604,177.6333333,259.3833333,6.3,47.7,0.043928017,
C249_LR,Male,Test,8.98258368,94.46666667,474.65,75.20089484,1216.933333,0.06179541,185.8333333,214.4333333,62.98333333,41.56666667,0.077626822,0.048886661
C249_LR Social Partner,Male,Social Partner,7.558631173,69.96666667,526.1166667,71.98143576,1213.2,0.059331879,140.8166667,241.4333333,56.26666667,57.3,0.057671173,
C249_RR,Male,Test,6.467526747,63.88333333,564.1,61.59560628,1217.233333,0.050602957,158.8666667,272.1666667,32.46666667,100.6,0.052482405,
C249_RR Social Partner,Male,Social Partner,6.283535729,48.51666667,503.2833333,76.92070473,1220.233333,0.063037702,131.65,249.0333333,16.46666667,106.1333333,0.039760155,
C255_L,Male,Test,5.547830601,32.5,629.2166667,86.88575091,1219,0.071276252,162.1666667,272.9166667,82.91666667,111.2166667,0.026661198,
C255_L Social Partner,Male,Social Partner,6.092541744,33.91666667,666.0166667,93.650948,1217.916667,0.076894381,224.1166667,341.4666667,40.95,59.48333333,0.027848101,
C257_L,Male,Test,5.902230623,57.35,469.15,69.85736896,1214.666667,0.057511555,119.4666667,208.1166667,44.11666667,97.45,0.047214599,
C257_L Social Partner,Male,Social Partner,10.13017433,81.93333333,504.1666667,84.29095815,1222,0.068977871,144.7666667,228.35,59.78333333,71.26666667,0.067048554,
C257_R,Male,Test,5.339459091,39.28333333,567.8166667,93.3138292,1160.983333,0.080374822,126.4166667,317.3666667,52.45,71.58333333,0.033836259,
C257_R Social Partner,Male,Social Partner,5.2799401,30.85,558.7333333,89.250362,1171.266667,0.076199865,132.6833333,359.25,29.45,37.35,0.026339006,
C289_L,Male,Test,4.461089498,28.91666667,539.6333333,84.96350314,1203.4,0.070602878,152.3666667,267.2666667,65.06666667,54.93333333,0.02402914,
C289_L Social Partner,Male,Social Partner,6.193335833,58.55,621.4666667,87.45363494,1211.85,0.072165396,207.0666667,295.05,46.96666667,72.38333333,0.04831456,
C303_L,Male,Test,6.936956281,80.98333333,446.7166667,66.81804881,1078.866667,0.061933556,110.6166667,295.4166667,2.8,37.88333333,0.075063338,
C303_L Social Partner,Male,Social Partner,2.531261393,41.96666667,490.1333333,51.08397683,941.7666667,0.054242711,103.1,295.9,9.733333333,81.4,0.044561639,
C313_L,Male,Test,8.454515121,74.85,505.2833333,88.93484389,1134.583333,0.078385467,152.1833333,224.65,45.68333333,76.71666667,0.065971355,
C313_L Social Partner,Male,Social Partner,9.204182684,77.86666667,527.7833333,89.62213673,1149.183333,0.077987675,151.4,270,39.31666667,73.11666667,0.067758263,