Mouse#,Sex,Test,Total Dist (m),Total Time (s),Chamber1_m,Chamber1_s,Chamber2_m,Chamber2_s,Chamber3_m,Chamber3_s,Chamber1_Cross,Chamber3_Cross,Cup1_m,Cup1_s,Cup3_m,Cup3_s,,,
BS_C262L,F,Baseline,47.37750556,617.55,17.6516592,235.1,13.47808888,150.1833333,13.69170863,155.0333333,2741,1893,9.985430088,72.05,7.320299709,34.56666667,,,
BS_C262R,F,Baseline,48.01377397,617.55,22.8520528,280.8666667,13.5028812,150.4833333,8.69985695,92.55,4134,1485,15.37313598,125.9666667,4.601971457,25.38333333,,,
BS_C274L,F,Baseline,34.8922196,617.55,10.0887659,187.1,12.38557285,192.15,9.921382087,150.4,2697,2577,6.381972074,64.58333333,6.235550962,45.26666667,,,
BS_C292L,F,Baseline,46.62672118,617.55,10.22100594,121.7166667,15.12211133,153.6,18.89538027,245.1166667,2353,3474,4.624984743,31.16666667,12.13325342,101.2333333,,,
BS_C296LLR,F,Baseline,37.38435958,617.55,8.736729161,115.1,12.5609537,181.2666667,13.30608654,184.6833333,4197,3993,4.738310359,43.11666667,8.525361291,77.53333333,,,
BS_C296RRL,F,Baseline,40.90265524,617.55,10.18374563,156.75,11.69602902,120.25,16.83648552,240.8333333,1799,4184,4.16265415,26.95,11.00710242,76,,,
BS_C302L,F,Baseline,60.28870198,617.55,15.15698158,162.4333333,21.20306498,188.6,20.79294674,177.5333333,2704,2635,9.470555794,61.83333333,11.72306028,49.56666667,,,
BS_C308L,F,Baseline,45.75800257,617.55,16.49431923,214.7333333,14.46674985,183.1,12.06746785,120.4833333,3037,2917,9.28604278,68.36666667,5.710182661,30.18333333,,,
BS_C249LR,M,Baseline,42.38737368,617.55,9.982537432,133.6833333,12.46990025,174.5,13.50488548,185.1833333,2884,4568,6.810566325,42.11666667,8.772294392,89.65,,,
BS_C249RR,M,Baseline,44.6177481,617.55,14.53511351,188.9666667,13.39449067,154.9833333,13.42870737,180.9333333,1989,3571,9.576737519,56.51666667,5.784965739,28.81666667,,,
BS_C255L,M,Baseline,39.33201302,617.55,14.97707518,243.8333333,10.701841,155.4833333,11.71924115,164.8833333,1475,1726,8.24710363,74.4,4.702845826,24.66666667,,,
BS_C257L,M,Baseline,46.12578472,616.7333333,20.80743394,251.95,14.74298399,179.2666667,8.835522183,129.5166667,1939,1421,11.51345745,83.86666667,4.801263358,22.88333333,,,
BS_C257R,M,Baseline,49.07723177,616.85,20.08701883,257.1166667,18.76007394,200.5666667,9.361478294,112.1333333,1759,1063,11.64423821,53.98333333,4.548670124,15.93333333,,,
BS_C289L,M,Baseline,49.95527486,617.55,17.9476077,247.4333333,13.45740141,137.25,15.573497,165.8833333,1469,2549,10.57116259,71.26666667,8.384367383,41.55,,,
BS_C303L,M,Baseline,44.06475895,617.55,9.513395175,130.1666667,13.94030299,164.3,17.54060092,235.05,2010,3272,5.613811725,43.41666667,9.122764595,59.06666667,,,
BS_C313L,M,Baseline,50.57425305,617.55,17.3934069,203.55,14.24643157,139.4166667,16.04710821,200.7833333,2791,1638,11.7999483,84.71666667,9.610437852,64.71666667,,,
C262_L,F,Social Preference,118.9344019,617.55,20.42205366,243.15,10.65159269,77.16666667,24.88888791,187.8333333,4516,2008,18.93488932,131.1666667,25.06747139,121.1833333,,0.519780728,0.016166033
C262_R,F,Social Preference,81.86912388,617.55,25.26347125,316.8666667,9.380140032,92.95,13.12538081,144.8333333,2389,1385,29.9708866,192.3166667,13.6762031,51.11666667,,0.790017801,
C274_L,F,Social Preference,105.65449,617.55,17.1246422,275.1666667,5.562776381,60.61666667,16.33464313,217.9666667,2334,1494,12.65266638,120.7,16.55352525,133.1,,0.475571316,
C292_L,F,Social Preference,58.56407171,617.55,20.73851297,187.4166667,11.86191497,77.7,20.5198106,261.3833333,4038,1425,23.48086071,167.1833333,20.99912979,157.9833333,,0.514146591,
C296_LLR,F,Social Preference,75.1602843,617.55,19.38504819,222.4666667,10.76241328,91.2,16.28059978,183.6666667,5380,1833,11.7164806,140.7333333,12.74847266,113.6166667,,0.553305812,
C296_RRL,F,Social Preference,54.95063891,617.55,19.87685579,214.4166667,12.33970959,91.28333333,16.88614849,211.2166667,4576,1462,15.53880346,140.9333333,12.50235322,133,,0.514480409,
C302_L,F,Social Preference,47.60865578,617.55,18.6650301,236.4666667,12.66939356,120.6666667,14.21341136,170.8666667,3372,2001,14.53750094,152.4333333,10.31945937,81.2,,0.652446854,
C308_L,F,Social Preference,42.30861069,617.55,23.5764343,370.5833333,6.405494683,64.48333333,10.72734454,127.0333333,1256,832,21.95205406,251.45,7.440711063,69.78333333,,0.782764346,
C249_LR,M,Social Preference,35.9650282,617.55,19.77750079,337.1833333,5.231555122,74.55,9.855957311,145.6166667,809,1493,12.63700207,145.8,7.098612682,69.78333333,,0.6763046,
C249_RR,M,Social Preference,40.47956996,617.55,19.6018977,328.6166667,9.233394249,104.1833333,9.946144059,125.0333333,1697,1886,18.13310549,202.0333333,8.230799701,69.5,,0.744046158,
C255_L,M,Social Preference,63.72261265,617.55,16.89414672,316.35,4.027157503,61.51666667,10.52257619,186.2666667,1774,1431,8.527787383,104.2666667,13.07205736,95.13333333,,0.52290204,
C257_L,M,Social Preference,58.56461944,617.55,28.52617359,302.4,10.15328903,124.9166667,9.186629148,111.05,3501,1250,29.17530196,214.7666667,8.334886564,47.21666667,,0.81977225,
C257_R,M,Social Preference,57.68602412,617.55,23.15056609,278.3833333,12.32061725,97.13333333,16.98062052,166.15,1983,1228,20.88841854,190.5166667,11.44447362,68.68333333,,0.735018004,
C289_L,M,Social Preference,51.62144434,617.55,24.42106561,319.8833333,7.902758959,46.71666667,12.58689979,153.0666667,2409,1275,22.2120842,248.8,6.833136103,65.83333333,,0.790761733,
C303_L,M,Social Preference,36.91314566,617.55,13.72733764,217.7166667,7.734050535,107.7,13.4759894,211.8833333,3469,1346,9.222584238,116.2666667,10.75568142,95.35,,0.549421123,
C313_L,M,Social Preference,49.56574968,617.55,21.17726326,282.55,10.62335741,101.1333333,14.732012,182.35,1870,1221,14.8218108,131.1833333,9.15340895,60.6,,0.684018424,
SM_C262L,F,Social Memory,115.9892028,617.55,13.48949635,217.2833333,7.720971192,93.58333333,20.9540526,220.2166667,3283,1905,10.1968105,105.05,19.30510934,161.9333333,,0.606529746,
SM_C262R,F,Social Memory,76.62490557,617.55,24.90297971,305.55,8.171991806,52.41666667,15.12819098,194.85,2954,930,30.69638527,207.8166667,14.12841767,89.05,,0.299966315,
SM_C274L,F,Social Memory,47.5883,617.55,14.70550025,269.9333333,5.114860507,70.73333333,16.740133,222.4666667,1306,1958,9.665700767,90.43333333,15.60804815,109.7,,0.548134577,
SM_C292L,F,Social Memory,33.13059984,617.55,15.96261577,282.2833333,6.662708185,98.01666667,8.922244426,151.35,2724,2430,5.388018328,60.55,6.361077044,96.63333333,,0.614781041,
SM_C296LLR,F,Social Memory,32.42199098,617.55,9.018030343,129.8833333,6.840678705,58.53333333,13.37747098,294.1,4885,3217,6.354344543,82.26666667,11.35210524,151.9666667,,0.648783265,
SM_C296RRL,F,Social Memory,33.00465114,617.55,8.567755393,123.4833333,6.406621175,69.33333333,16.52733826,342.5333333,4246,686,5.150673124,49.45,12.76279637,165.7666667,,0.77023155,
SM_C302L,F,Social Memory,53.91020051,617.55,14.85169995,187.0333333,12.23125655,102.2166667,21.598433,235.2666667,2968,2614,11.63133293,96.3,18.5709529,154.2166667,,0.615594438,
SM_C308L,F,Social Memory,41.24798444,617.55,11.59243425,171.8666667,8.268906376,85.58333333,19.08264089,283.5333333,1456,2807,10.22325224,82.08333333,11.8044934,96.65,,0.54074972,
SM_C249LR,M,Social Memory,47.83162511,617.55,11.95611219,208.8666667,8.891346065,78.71666667,21.27700229,257.1666667,1638,2673,7.24616203,66.1,26.91006103,229.3833333,,0.77629872,
SM2_C249RR,M,Social Memory,49.27254221,617.55,11.1705043,226.25,11.47910302,165.9666667,9.442885571,113.2666667,2984,3741,8.923079796,61.48333333,21.23094964,86.26666667,,0.583869148,
SM_C255L,M,Social Memory,69.53483494,617.55,15.9197726,186.5833333,5.832326174,68.81666667,18.75056222,302.6833333,1947,1621,19.55956997,92.58333333,10.88321226,75.6,,0.449509464,
SM_C257L,M,Social Memory,127.3697227,617.55,16.14952454,172.7666667,9.062590817,91.98333333,24.13469481,282.3166667,1555,2674,21.32546148,93.8,25.09110211,142.9833333,,0.603857253,
SM_C257R,M,Social Memory,44.78814729,617.55,9.168652208,125.3166667,5.884897881,49.16666667,26.65326862,394.9333333,1592,891,8.409203824,82.05,25.49637055,268.9666667,,0.766250415,
SM_C289L,M,Social Memory,127.1700197,617.55,15.64945584,225.7666667,7.388164761,73.2,16.91000421,211.1333333,2702,3267,18.04394774,130.6166667,19.55562678,130.9166667,,0.500573541,
SM_C303L,M,Social Memory,26.40574796,617.55,8.606513105,154.7666667,4.045920053,55.83333333,12.32443712,345.4833333,2200,1488,5.508128186,57.23333333,6.939439588,109.8666667,,0.657490525,
SM_C313L,M,Social Memory,40.2465429,617.55,11.72100023,182.1166667,11.0449321,142.2,14.72405426,193.0666667,2162,3848,8.101491808,90.98333333,11.29290431,75.06666667,,0.452072669,