Mouse,Sex,Formula,NewValue
C262_L,Female,Sociable Index,0.519780728
C262_R,Female,Sociable Index,0.790017801
C274_L,Female,Sociable Index,0.475571316
C292_L,Female,Sociable Index,0.514146591
C296_LLR,Female,Sociable Index,0.553305812
C296_RRL,Female,Sociable Index,0.514480409
C302_L,Female,Sociable Index,0.652446854
C308_L,Female,Sociable Index,0.782764346
C249_LR,Male,Sociable Index,0.6763046
C249_RR,Male,Sociable Index,0.744046158
C255_L,Male,Sociable Index,0.52290204
C257_L,Male,Sociable Index,0.81977225
C257_R,Male,Sociable Index,0.735018004
C289_L,Male,Sociable Index,0.790761733
C303_L,Male,Sociable Index,0.549421123
C313_L,Male,Sociable Index,0.684018424
SM_C262L,Female,Social Novelty,0.606529746
SM_C262R,Female,Social Novelty,0.299966315
SM_C274L,Female,Social Novelty,0.548134577
SM_C292L,Female,Social Novelty,0.614781041
SM_C296LLR,Female,Social Novelty,0.648783265
SM_C296RRL,Female,Social Novelty,0.77023155
SM_C302L,Female,Social Novelty,0.615594438
SM_C308L,Female,Social Novelty,0.54074972
SM_C249LR,Male,Social Novelty,0.77629872
SM2_C249RR,Male,Social Novelty,0.583869148
SM_C255L,Male,Social Novelty,0.449509464
SM_C257L,Male,Social Novelty,0.603857253
SM_C257R,Male,Social Novelty,0.766250415
SM_C289L,Male,Social Novelty,0.500573541
SM_C303L,Male,Social Novelty,0.657490525
SM_C313L,Male,Social Novelty,0.452072669