Mouse Name,Sex,Total Encounters,One Mouse,One Average Time,Total Time,Two Mice,Two Average Time,Ball Distance,Total SimBA Time
C262_L,F,146,140,0.0168,2.35,6,0.0417,0.888,116.339
C262_R,F,95,88,0.0155,1.3667,7,0.1024,0.645,89.34
C274_L,F,207,207,0.0155,3.2,0,0,0.055,77.848
C292_L,F,165,161,0.0159,2.5667,4,0.025,1.005,41.78
C296_LLR,F,131,127,0.0151,1.9167,4,0.025,0.789,161.576
C296_RRL,F,150,145,0.0151,2.1833,5,0.0333,1.011,121.899
C302_L,F,153,151,0.015,2.2667,2,0.025,0.222,105.338
C308_L,F,115,115,0.0161,1.85,0,0,0.085,55.153
C249_LR,M,133,128,0.0169,2.1667,5,0.0367,0.28,126.813
C249_RR,M,339,337,0.013,4.3667,2,0.0417,0.725,104.559
C255_L,M,131,128,0.016,2.05,3,0.0667,2.718,61.983
C257_L,M,137,132,0.0157,2.0667,5,0.0233,0.803,109.476
C289_L,M,133,132,0.0159,2.1,1,0.0167,0.877,76.186
C303_L,M,101,101,0.0149,1.5,0,0,0.954,80.747
C313_L,M,138,135,0.0162,2.1833,3,0.0278,1.1,79.966
C257_R,M,140,129,0.0173,2.2333,11,0.0697,2.418,113.102
,,,,,,,,,
,,,,,,,,,
Mouse Name,Sex,Total Time,Total SimBA Time,,,,,,
C262_L,F,2.35,116.339,,,,,,
C262_R,F,1.3667,89.34,,,,,,
C274_L,F,3.2,77.848,,,,,,
C292_L,F,2.5667,41.78,,,,,,
C296_LLR,F,1.9167,161.576,,,,,,
C296_RRL,F,2.1833,121.899,,,,,,
C302_L,F,2.2667,105.338,,,,,,
C308_L,F,1.85,55.153,,,,,,
C249_LR,M,2.1667,126.813,,,,,,
C249_RR,M,4.3667,104.559,,,,,,
C255_L,M,2.05,61.983,,,,,,
C257_L,M,2.0667,109.476,,,,,,
C289_L,M,2.1,76.186,,,,,,
C303_L,M,1.5,80.747,,,,,,
C313_L,M,2.1833,79.966,,,,,,
C257_R,M,2.2333,113.102,,,,,,